model_key,benchmark,task,core,n_total,n_parsed,n_parse_errors,parse_coverage,n_evaluated,n_positive,n_negative,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,balanced_accuracy,auroc,n_scored_probabilities
duoguard-0.5b,toxicchat,prompt_harm,True,2853,2853,0,1.00000000,2853,362,2491,235,72,2419,127,0.93024886,0.76547231,0.64917127,0.97109595,0.70254111,0.81013361,0.95210770,2853
duoguard-0.5b,wildguardtest,prompt_harm,True,1699,1699,0,1.00000000,1699,754,945,516,68,877,238,0.81989406,0.88356164,0.68435013,0.92804233,0.77130045,0.80619623,0.90587063,1699
duoguard-0.5b,wildguardtest,response_harm,True,1709,1709,0,1.00000000,1709,284,1425,172,175,1250,112,0.83206554,0.49567723,0.60563380,0.87719298,0.54516640,0.74141339,0.83415122,1709
duoguard-0.5b,xstest_response,response_harm,True,446,446,0,1.00000000,446,78,368,78,89,279,0,0.80044843,0.46706587,1.00000000,0.75815217,0.63673469,0.87907609,0.96801839,446
dynaguard-8b,aegis_v1,prompt_harm,True,359,359,0,1.00000000,359,233,126,121,2,124,112,0.68245125,0.98373984,0.51931330,0.98412698,0.67977528,0.75172014,0.93213094,359
dynaguard-8b,aegis_v2,prompt_harm,False,1964,1964,0,1.00000000,1964,1059,905,645,42,863,414,0.76782077,0.93886463,0.60906516,0.95359116,0.73883162,0.78132816,0.90814382,1964
dynaguard-8b,beavertails,response_harm,True,3021,3021,0,1.00000000,3021,1733,1288,1318,165,1123,415,0.80801059,0.88873904,0.76053087,0.87189441,0.81965174,0.81621264,0.89045605,3021
dynaguard-8b,harmbench,prompt_harm,True,239,239,0,1.00000000,239,239,0,139,0,0,100,0.58158996,1.00000000,0.58158996,,0.73544974,,,239
dynaguard-8b,harmbench,response_harm,True,602,602,0,1.00000000,602,273,329,243,52,277,30,0.86378738,0.82372881,0.89010989,0.84194529,0.85563380,0.86602759,0.92731888,602
dynaguard-8b,openai_mod,prompt_harm,True,1680,1680,0,1.00000000,1680,522,1158,392,74,1084,130,0.87857143,0.84120172,0.75095785,0.93609672,0.79352227,0.84352729,0.94197288,1680
dynaguard-8b,saferlhf,response_harm,True,2000,2000,0,1.00000000,2000,1000,1000,537,182,818,463,0.67750000,0.74687065,0.53700000,0.81800000,0.62478185,0.67750000,0.72511700,2000
dynaguard-8b,simplesafetytests,prompt_harm,False,100,100,0,1.00000000,100,100,0,92,0,0,8,0.92000000,1.00000000,0.92000000,,0.95833333,,,100
dynaguard-8b,toxicchat,prompt_harm,True,2853,2853,0,1.00000000,2853,362,2491,214,28,2463,148,0.93831055,0.88429752,0.59116022,0.98875953,0.70860927,0.78995988,0.97059358,2853
dynaguard-8b,wildguardtest,prompt_harm,True,1699,1699,0,1.00000000,1699,754,945,487,15,930,267,0.83402001,0.97011952,0.64588859,0.98412698,0.77547771,0.81500779,0.94922459,1699
dynaguard-8b,wildguardtest,response_harm,True,1709,1709,0,1.00000000,1709,284,1425,208,36,1389,76,0.93446460,0.85245902,0.73239437,0.97473684,0.78787879,0.85356560,0.94006795,1709
dynaguard-8b,xstest_response,response_harm,True,446,446,0,1.00000000,446,78,368,73,9,359,5,0.96860987,0.89024390,0.93589744,0.97554348,0.91250000,0.95572046,0.98932205,446
gptoss-safeguard-20b,aegis_v1,prompt_harm,True,359,359,0,1.00000000,359,233,126,179,9,117,54,0.82451253,0.95212766,0.76824034,0.92857143,0.85035629,0.84840589,0.84717964,359
gptoss-safeguard-20b,aegis_v2,prompt_harm,False,1964,1964,0,1.00000000,1964,1059,905,813,141,764,246,0.80295316,0.85220126,0.76770538,0.84419890,0.80774963,0.80595214,0.80817721,1964
gptoss-safeguard-20b,beavertails,response_harm,True,3021,3021,0,1.00000000,3021,1733,1288,1292,248,1040,441,0.77192982,0.83896104,0.74552799,0.80745342,0.78948976,0.77649070,0.77674875,3021
gptoss-safeguard-20b,harmbench,prompt_harm,True,239,239,0,1.00000000,239,239,0,154,0,0,85,0.64435146,1.00000000,0.64435146,,0.78371501,,,239
gptoss-safeguard-20b,harmbench,response_harm,True,602,602,0,1.00000000,602,273,329,256,119,210,17,0.77408638,0.68266667,0.93772894,0.63829787,0.79012346,0.78801341,0.79086364,602
gptoss-safeguard-20b,openai_mod,prompt_harm,True,1680,1680,0,1.00000000,1680,522,1158,433,133,1025,89,0.86785714,0.76501767,0.82950192,0.88514680,0.79595588,0.85732436,0.85855683,1680
gptoss-safeguard-20b,saferlhf,response_harm,True,2000,2000,0,1.00000000,2000,1000,1000,570,319,681,430,0.62550000,0.64116985,0.57000000,0.68100000,0.60349391,0.62550000,0.62657050,2000
gptoss-safeguard-20b,simplesafetytests,prompt_harm,False,100,100,0,1.00000000,100,100,0,100,0,0,0,1.00000000,1.00000000,1.00000000,,1.00000000,,,100
gptoss-safeguard-20b,toxicchat,prompt_harm,True,2853,2853,0,1.00000000,2853,362,2491,272,99,2392,90,0.93375394,0.73315364,0.75138122,0.96025692,0.74215553,0.85581907,0.85996549,2853
gptoss-safeguard-20b,wildguardtest,prompt_harm,True,1699,1699,0,1.00000000,1699,754,945,650,74,871,104,0.89523249,0.89779006,0.86206897,0.92169312,0.87956698,0.89188104,0.89177719,1699
gptoss-safeguard-20b,wildguardtest,response_harm,True,1709,1709,0,1.00000000,1709,284,1425,244,154,1271,40,0.88648332,0.61306533,0.85915493,0.89192982,0.71554252,0.87554238,0.87686064,1709
gptoss-safeguard-20b,xstest_response,response_harm,True,446,446,0,1.00000000,446,78,368,77,20,348,1,0.95291480,0.79381443,0.98717949,0.94565217,0.88000000,0.96641583,0.96775711,446
granite-3.0-8b,aegis_v1,prompt_harm,True,359,359,0,1.00000000,359,233,126,195,15,111,38,0.85236769,0.92857143,0.83690987,0.88095238,0.88036117,0.85893113,0.92462021,359
granite-3.0-8b,aegis_v2,prompt_harm,False,1964,1964,0,1.00000000,1964,1059,905,921,297,608,138,0.77851324,0.75615764,0.86968839,0.67182320,0.80895916,0.77075579,0.88194794,1964
granite-3.0-8b,beavertails,response_harm,True,3021,3021,0,1.00000000,3021,1733,1288,1153,92,1196,580,0.77755710,0.92610442,0.66532025,0.92857143,0.77434520,0.79694584,0.89499929,3021
granite-3.0-8b,harmbench,prompt_harm,True,239,239,0,1.00000000,239,239,0,160,0,0,79,0.66945607,1.00000000,0.66945607,,0.80200501,,,239
granite-3.0-8b,harmbench,response_harm,True,602,602,0,1.00000000,602,273,329,215,39,290,58,0.83887043,0.84645669,0.78754579,0.88145897,0.81593928,0.83450238,0.92131779,602
granite-3.0-8b,openai_mod,prompt_harm,True,1680,1680,0,1.00000000,1680,522,1158,464,262,896,58,0.80952381,0.63911846,0.88888889,0.77374784,0.74358974,0.83131836,0.91780567,1680
granite-3.0-8b,saferlhf,response_harm,True,2000,2000,0,1.00000000,2000,1000,1000,417,95,905,583,0.66100000,0.81445312,0.41700000,0.90500000,0.55158730,0.66100000,0.74961650,2000
granite-3.0-8b,simplesafetytests,prompt_harm,False,100,100,0,1.00000000,100,100,0,100,0,0,0,1.00000000,1.00000000,1.00000000,,1.00000000,,,100
granite-3.0-8b,toxicchat,prompt_harm,True,2853,2853,0,1.00000000,2853,362,2491,306,270,2221,56,0.88573431,0.53125000,0.84530387,0.89160980,0.65245203,0.86845683,0.94020740,2853
granite-3.0-8b,wildguardtest,prompt_harm,True,1699,1699,0,1.00000000,1699,754,945,694,210,735,60,0.84108299,0.76769912,0.92042440,0.77777778,0.83715320,0.84910109,0.94150141,1699
granite-3.0-8b,wildguardtest,response_harm,True,1709,1709,0,1.00000000,1709,284,1425,203,57,1368,81,0.91925102,0.78076923,0.71478873,0.96000000,0.74632353,0.83739437,0.93590932,1709
granite-3.0-8b,xstest_response,response_harm,True,446,446,0,1.00000000,446,78,368,61,5,363,17,0.95067265,0.92424242,0.78205128,0.98641304,0.84722222,0.88423216,0.97925376,446
granite-3.3-8b,aegis_v1,prompt_harm,True,359,359,0,1.00000000,359,233,126,187,9,117,46,0.84679666,0.95408163,0.80257511,0.92857143,0.87179487,0.86557327,0.92528442,359
granite-3.3-8b,aegis_v2,prompt_harm,False,1964,1964,0,1.00000000,1964,1059,905,901,177,728,158,0.82942974,0.83580705,0.85080264,0.80441989,0.84323818,0.82761127,0.90486282,1964
granite-3.3-8b,beavertails,response_harm,True,3021,3021,0,1.00000000,3021,1733,1288,1391,178,1110,342,0.82787157,0.88655194,0.80265436,0.86180124,0.84251969,0.83222780,0.90081287,3021
granite-3.3-8b,harmbench,prompt_harm,True,239,239,0,1.00000000,239,239,0,160,0,0,79,0.66945607,1.00000000,0.66945607,,0.80200501,,,239
granite-3.3-8b,harmbench,response_harm,True,602,602,0,1.00000000,602,273,329,245,59,270,28,0.85548173,0.80592105,0.89743590,0.82066869,0.84922010,0.85905230,0.92666756,602
granite-3.3-8b,openai_mod,prompt_harm,True,1680,1680,0,1.00000000,1680,522,1158,486,247,911,36,0.83154762,0.66302865,0.93103448,0.78670121,0.77450199,0.85886785,0.94132687,1680
granite-3.3-8b,saferlhf,response_harm,True,2000,2000,0,1.00000000,2000,1000,1000,562,213,787,438,0.67450000,0.72516129,0.56200000,0.78700000,0.63323944,0.67450000,0.72636450,2000
granite-3.3-8b,simplesafetytests,prompt_harm,False,100,100,0,1.00000000,100,100,0,99,0,0,1,0.99000000,1.00000000,0.99000000,,0.99497487,,,100
granite-3.3-8b,toxicchat,prompt_harm,True,2853,2853,0,1.00000000,2853,362,2491,319,161,2330,43,0.92849632,0.66458333,0.88121547,0.93536732,0.75771971,0.90829140,0.96811283,2853
granite-3.3-8b,wildguardtest,prompt_harm,True,1699,1699,0,1.00000000,1699,754,945,615,77,868,139,0.87286639,0.88872832,0.81564987,0.91851852,0.85062241,0.86708419,0.94650681,1699
granite-3.3-8b,wildguardtest,response_harm,True,1709,1709,0,1.00000000,1709,284,1425,198,38,1387,86,0.92744295,0.83898305,0.69718310,0.97333333,0.76153846,0.83525822,0.94193106,1709
granite-3.3-8b,xstest_response,response_harm,True,446,446,0,1.00000000,446,78,368,75,13,355,3,0.96412556,0.85227273,0.96153846,0.96467391,0.90361446,0.96310619,0.98146600,446
granite-4.1-8b,aegis_v1,prompt_harm,True,359,359,0,1.00000000,359,233,126,189,8,118,44,0.85515320,0.95939086,0.81115880,0.93650794,0.87906977,0.87383337,0.93751277,359
granite-4.1-8b,aegis_v2,prompt_harm,False,1964,1964,0,1.00000000,1964,1059,905,903,175,730,156,0.83146640,0.83766234,0.85269122,0.80662983,0.84510997,0.82966053,0.90559060,1964
granite-4.1-8b,beavertails,response_harm,True,3021,3021,0,1.00000000,3021,1733,1288,1305,137,1151,428,0.81297584,0.90499307,0.75302943,0.89363354,0.82204724,0.82333148,0.90015541,3021
granite-4.1-8b,harmbench,prompt_harm,True,239,239,0,1.00000000,239,239,0,160,0,0,79,0.66945607,1.00000000,0.66945607,,0.80200501,,,239
granite-4.1-8b,harmbench,response_harm,True,602,602,0,1.00000000,602,273,329,238,50,279,35,0.85880399,0.82638889,0.87179487,0.84802432,0.84848485,0.85990959,0.92140129,602
granite-4.1-8b,openai_mod,prompt_harm,True,1680,1680,0,1.00000000,1680,522,1158,481,232,926,41,0.83750000,0.67461431,0.92145594,0.79965458,0.77894737,0.86055526,0.94663891,1680
granite-4.1-8b,saferlhf,response_harm,True,2000,2000,0,1.00000000,2000,1000,1000,525,168,832,475,0.67850000,0.75757576,0.52500000,0.83200000,0.62020083,0.67850000,0.72662950,2000
granite-4.1-8b,simplesafetytests,prompt_harm,False,100,100,0,1.00000000,100,100,0,100,0,0,0,1.00000000,1.00000000,1.00000000,,1.00000000,,,100
granite-4.1-8b,toxicchat,prompt_harm,True,2853,2853,0,1.00000000,2853,362,2491,310,147,2344,52,0.93024886,0.67833698,0.85635359,0.94098756,0.75702076,0.89867057,0.96953397,2853
granite-4.1-8b,wildguardtest,prompt_harm,True,1699,1699,0,1.00000000,1699,754,945,614,91,854,140,0.86403767,0.87092199,0.81432361,0.90370370,0.84167238,0.85901366,0.94220945,1699
granite-4.1-8b,wildguardtest,response_harm,True,1709,1709,0,1.00000000,1709,284,1425,196,37,1388,88,0.92685781,0.84120172,0.69014085,0.97403509,0.75822050,0.83208797,0.92780825,1709
granite-4.1-8b,xstest_response,response_harm,True,446,446,0,1.00000000,446,78,368,72,8,360,6,0.96860987,0.90000000,0.92307692,0.97826087,0.91139241,0.95066890,0.98420081,446
granite-hap-125m,aegis_v1,prompt_harm,True,359,359,0,1.00000000,359,233,126,32,3,123,201,0.43175487,0.91428571,0.13733906,0.97619048,0.23880597,0.55676477,0.72171129,359
granite-hap-125m,aegis_v2,prompt_harm,False,1964,1964,0,1.00000000,1964,1059,905,173,29,876,886,0.53411405,0.85643564,0.16336166,0.96795580,0.27438541,0.56565873,0.66647416,1964
granite-hap-125m,beavertails,response_harm,True,3021,3021,0,1.00000000,3021,1733,1288,156,32,1256,1577,0.46739490,0.82978723,0.09001731,0.97515528,0.16241541,0.53258630,0.66057025,3021
granite-hap-125m,harmbench,prompt_harm,True,239,239,0,1.00000000,239,239,0,12,0,0,227,0.05020921,1.00000000,0.05020921,,0.09561753,,,239
granite-hap-125m,harmbench,response_harm,True,602,602,0,1.00000000,602,273,329,6,0,329,267,0.55647841,1.00000000,0.02197802,1.00000000,0.04301075,0.51098901,0.78233519,602
granite-hap-125m,openai_mod,prompt_harm,True,1680,1680,0,1.00000000,1680,522,1158,304,80,1078,218,0.82261905,0.79166667,0.58237548,0.93091537,0.67108168,0.75664543,0.87666508,1680
granite-hap-125m,saferlhf,response_harm,True,2000,2000,0,1.00000000,2000,1000,1000,71,26,974,929,0.52250000,0.73195876,0.07100000,0.97400000,0.12944394,0.52250000,0.60025050,2000
granite-hap-125m,simplesafetytests,prompt_harm,False,100,100,0,1.00000000,100,100,0,24,0,0,76,0.24000000,1.00000000,0.24000000,,0.38709677,,,100
granite-hap-125m,toxicchat,prompt_harm,True,2853,2853,0,1.00000000,2853,362,2491,57,18,2473,305,0.88678584,0.76000000,0.15745856,0.99277399,0.26086957,0.57511627,0.81242085,2853
granite-hap-125m,wildguardtest,prompt_harm,True,1699,1699,0,1.00000000,1699,754,945,6,6,939,748,0.55620954,0.50000000,0.00795756,0.99365079,0.01566580,0.50080418,0.64689487,1699
granite-hap-125m,wildguardtest,response_harm,True,1709,1709,0,1.00000000,1709,284,1425,2,1,1424,282,0.83440609,0.66666667,0.00704225,0.99929825,0.01393728,0.50317025,0.75375093,1709
granite-hap-125m,xstest_response,response_harm,True,446,446,0,1.00000000,446,78,368,1,0,368,77,0.82735426,1.00000000,0.01282051,1.00000000,0.02531646,0.50641026,0.79626533,446
guardreasoner-8b,aegis_v1,prompt_harm,True,359,359,0,1.00000000,359,233,126,202,14,112,31,0.87465181,0.93518519,0.86695279,0.88888889,0.89977728,0.87792084,0.88008379,359
guardreasoner-8b,aegis_v2,prompt_harm,False,1964,1964,0,1.00000000,1964,1059,905,943,235,670,116,0.82128310,0.80050934,0.89046270,0.74033149,0.84309343,0.81539710,0.81722776,1964
guardreasoner-8b,beavertails,response_harm,True,3021,3016,5,0.99834492,3021,1733,1288,1517,218,1070,216,0.85633896,0.87435159,0.87536065,0.83074534,0.87485582,0.85305299,0.87312568,3016
guardreasoner-8b,harmbench,prompt_harm,True,239,239,0,1.00000000,239,239,0,203,0,0,36,0.84937238,1.00000000,0.84937238,,0.91855204,,,239
guardreasoner-8b,harmbench,response_harm,True,602,600,2,0.99667774,602,273,329,246,59,270,27,0.85714286,0.80655738,0.90109890,0.82066869,0.85121107,0.86088380,0.86478651,600
guardreasoner-8b,openai_mod,prompt_harm,True,1680,1680,0,1.00000000,1680,522,1158,495,350,808,27,0.77559524,0.58579882,0.94827586,0.69775475,0.72421361,0.82301531,0.82492853,1680
guardreasoner-8b,saferlhf,response_harm,True,2000,2000,0,1.00000000,2000,1000,1000,687,264,736,313,0.71150000,0.72239748,0.68700000,0.73600000,0.70425423,0.71150000,0.72756950,2000
guardreasoner-8b,simplesafetytests,prompt_harm,False,100,100,0,1.00000000,100,100,0,99,0,0,1,0.99000000,1.00000000,0.99000000,,0.99497487,,,100
guardreasoner-8b,toxicchat,prompt_harm,True,2853,2853,0,1.00000000,2853,362,2491,326,140,2351,36,0.93831055,0.69957082,0.90055249,0.94379767,0.78743961,0.92217508,0.92204256,2853
guardreasoner-8b,wildguardtest,prompt_harm,True,1699,1699,0,1.00000000,1699,754,945,651,48,897,103,0.91112419,0.93133047,0.86339523,0.94920635,0.89607708,0.90630079,0.90630079,1699
guardreasoner-8b,wildguardtest,response_harm,True,1709,1709,0,1.00000000,1709,284,1425,208,43,1382,76,0.93036864,0.82868526,0.73239437,0.96982456,0.77757009,0.85110946,0.85569434,1709
guardreasoner-8b,wildguardtest,response_refusal,True,1720,1719,1,0.99941860,1720,563,1157,553,124,1033,10,0.92209302,0.81683900,0.98223801,0.89282627,0.89193548,0.93753214,0.94831276,1719
guardreasoner-8b,xstest_response,response_harm,True,446,446,0,1.00000000,446,78,368,74,8,360,4,0.97309417,0.90243902,0.94871795,0.97826087,0.92500000,0.96348941,0.96702550,446
guardreasoner-8b,xstest_response,response_refusal,True,449,449,0,1.00000000,449,178,271,178,24,247,0,0.94654788,0.88118812,1.00000000,0.91143911,0.93684211,0.95571956,0.95730544,449
harmaug-guard,aegis_v1,prompt_harm,True,359,359,0,1.00000000,359,233,126,191,17,109,42,0.83565460,0.91826923,0.81974249,0.86507937,0.86621315,0.84241093,0.92543770,359
harmaug-guard,aegis_v2,prompt_harm,False,1964,1964,0,1.00000000,1964,1059,905,935,356,549,124,0.75560081,0.72424477,0.88290840,0.60662983,0.79574468,0.74476912,0.80957225,1964
harmaug-guard,beavertails,response_harm,True,3021,3021,0,1.00000000,3021,1733,1288,1088,88,1200,645,0.75736511,0.92517007,0.62781304,0.93167702,0.74802338,0.77974503,0.87274450,3021
harmaug-guard,harmbench,prompt_harm,True,239,239,0,1.00000000,239,239,0,237,0,0,2,0.99163180,1.00000000,0.99163180,,0.99579832,,,239
harmaug-guard,harmbench,response_harm,True,602,602,0,1.00000000,602,273,329,237,63,266,36,0.83554817,0.79000000,0.86813187,0.80851064,0.82722513,0.83832125,0.91889620,602
harmaug-guard,openai_mod,prompt_harm,True,1680,1680,0,1.00000000,1680,522,1158,493,335,823,29,0.78333333,0.59541063,0.94444444,0.71070812,0.73037037,0.82757628,0.93295267,1680
harmaug-guard,saferlhf,response_harm,True,2000,2000,0,1.00000000,2000,1000,1000,407,108,892,593,0.64950000,0.79029126,0.40700000,0.89200000,0.53729373,0.64950000,0.69134900,2000
harmaug-guard,simplesafetytests,prompt_harm,False,100,100,0,1.00000000,100,100,0,99,0,0,1,0.99000000,1.00000000,0.99000000,,0.99497487,,,100
harmaug-guard,toxicchat,prompt_harm,True,2853,2853,0,1.00000000,2853,362,2491,307,231,2260,55,0.89975464,0.57063197,0.84806630,0.90726616,0.68222222,0.87766623,0.95790481,2853
harmaug-guard,wildguardtest,prompt_harm,True,1699,1699,0,1.00000000,1699,754,945,633,58,887,121,0.89464391,0.91606368,0.83952255,0.93862434,0.87612457,0.88907344,0.94749344,1699
harmaug-guard,wildguardtest,response_harm,True,1709,1709,0,1.00000000,1709,284,1425,196,47,1378,88,0.92100644,0.80658436,0.69014085,0.96701754,0.74383302,0.82857919,0.93123548,1709
harmaug-guard,xstest_response,response_harm,True,446,446,0,1.00000000,446,78,368,64,2,366,14,0.96412556,0.96969697,0.82051282,0.99456522,0.88888889,0.90753902,0.98164019,446
harmbench-cls-13b,beavertails,response_harm,True,3021,3021,0,1.00000000,3021,1733,1288,1247,254,1034,486,0.75504800,0.83077948,0.71956145,0.80279503,0.77118120,0.76117824,0.84396471,3021
harmbench-cls-13b,harmbench,response_harm,True,602,602,0,1.00000000,602,273,329,268,91,238,5,0.84053156,0.74651811,0.98168498,0.72340426,0.84810127,0.85254462,0.94505495,602
harmbench-cls-13b,saferlhf,response_harm,True,2000,2000,0,1.00000000,2000,1000,1000,498,172,828,502,0.66300000,0.74328358,0.49800000,0.82800000,0.59640719,0.66300000,0.75294650,2000
harmbench-cls-13b,wildguardtest,response_harm,True,1709,1709,0,1.00000000,1709,284,1425,241,513,912,43,0.67466355,0.31962865,0.84859155,0.64000000,0.46435453,0.74429577,0.85232889,1709
harmbench-cls-13b,xstest_response,response_harm,True,446,446,0,1.00000000,446,78,368,69,67,301,9,0.82959641,0.50735294,0.88461538,0.81793478,0.64485981,0.85127508,0.93807483,446
kanana-safeguard-8b,aegis_v1,prompt_harm,True,359,359,0,1.00000000,359,233,126,209,31,95,24,0.84679666,0.87083333,0.89699571,0.75396825,0.88372093,0.82548198,0.91167654,359
kanana-safeguard-8b,aegis_v2,prompt_harm,False,1964,1964,0,1.00000000,1964,1059,905,950,295,610,109,0.79429735,0.76305221,0.89707271,0.67403315,0.82465278,0.78555293,0.87563374,1964
kanana-safeguard-8b,beavertails,response_harm,True,3021,3021,0,1.00000000,3021,1733,1288,1418,291,997,315,0.79940417,0.82972499,0.81823428,0.77406832,0.82393957,0.79615130,0.87423435,3021
kanana-safeguard-8b,harmbench,prompt_harm,True,239,239,0,1.00000000,239,239,0,152,0,0,87,0.63598326,1.00000000,0.63598326,,0.77749361,,,239
kanana-safeguard-8b,harmbench,response_harm,True,602,602,0,1.00000000,602,273,329,227,56,273,46,0.83056478,0.80212014,0.83150183,0.82978723,0.81654676,0.83064453,0.90743957,602
kanana-safeguard-8b,openai_mod,prompt_harm,True,1680,1680,0,1.00000000,1680,522,1158,498,357,801,24,0.77321429,0.58245614,0.95402299,0.69170984,0.72331155,0.82286642,0.92218467,1680
kanana-safeguard-8b,saferlhf,response_harm,True,2000,2000,0,1.00000000,2000,1000,1000,660,309,691,340,0.67550000,0.68111455,0.66000000,0.69100000,0.67039106,0.67550000,0.72971750,2000
kanana-safeguard-8b,simplesafetytests,prompt_harm,False,100,100,0,1.00000000,100,100,0,100,0,0,0,1.00000000,1.00000000,1.00000000,,1.00000000,,,100
kanana-safeguard-8b,toxicchat,prompt_harm,True,2853,2853,0,1.00000000,2853,362,2491,297,219,2272,65,0.90045566,0.57558140,0.82044199,0.91208350,0.67653759,0.86626274,0.94408046,2853
kanana-safeguard-8b,wildguardtest,prompt_harm,True,1699,1699,0,1.00000000,1699,754,945,590,120,825,164,0.83284285,0.83098592,0.78249337,0.87301587,0.80601093,0.82775462,0.90575414,1699
kanana-safeguard-8b,wildguardtest,response_harm,True,1709,1709,0,1.00000000,1709,284,1425,202,73,1352,82,0.90930369,0.73454545,0.71126761,0.94877193,0.72271914,0.83001977,0.93376205,1709
kanana-safeguard-8b,xstest_response,response_harm,True,446,446,0,1.00000000,446,78,368,74,55,313,4,0.86771300,0.57364341,0.94871795,0.85054348,0.71497585,0.89963071,0.96415134,446
librai-action,wildguardtest,response_refusal,True,1720,1720,0,1.00000000,1720,563,1157,552,461,696,11,0.72558140,0.54491609,0.98046181,0.60155575,0.70050761,0.79100878,0.93547961,1720
librai-action,xstest_response,response_refusal,True,449,449,0,1.00000000,449,178,271,176,120,151,2,0.72828508,0.59459459,0.98876404,0.55719557,0.74261603,0.77297981,0.91228907,449
librai-harmful,beavertails,response_harm,True,3021,3021,0,1.00000000,3021,1733,1288,1076,399,889,657,0.65044687,0.72949153,0.62088863,0.69021739,0.67082294,0.65555301,0.71455407,3021
librai-harmful,harmbench,response_harm,True,602,602,0,1.00000000,602,273,329,164,91,238,109,0.66777409,0.64313725,0.60073260,0.72340426,0.62121212,0.66206843,0.76685928,602
librai-harmful,saferlhf,response_harm,True,2000,2000,0,1.00000000,2000,1000,1000,411,212,788,589,0.59950000,0.65971108,0.41100000,0.78800000,0.50646950,0.59950000,0.65715900,2000
